launch_category,jf_id,fill_type,grade,product_name_en,product_name_jp_unverified,brand_maker_unverified,retailer_or_where_found,display_strategy,copy_angle,notes
skincare_beauty,JF-0361,verified,A,Hada Labo Gokujyun Hyaluronic Lotion,肌ラボ 極潤,Rohto,All drugstores;Rohto online;Amazon JP;Yodobashi,show_all,recommendation,
skincare_beauty,JF-0362,verified,B,Heroine Make Long Mascara,ヒロインメイク,KissMe / Isehan,All drugstores,show_all,recommendation,
skincare_beauty,JF-0363,verified,B,KATE Eyebrow Powder,KATE,Kanebo,Drugstores,show_all,recommendation,
skincare_beauty,JF-0364,verified,C,Lip Bambi Sleeping Pack / Laneige-style overnight balm,リップ寝マスク,Various,Drugstores,show_all,recommendation,
skincare_beauty,JF-0365,verified,B,Majolica Majorca Lash Expander,マジョリカマジョルカ,Shiseido,Drugstores,show_all,recommendation,
skincare_beauty,JF-0366,verified,B,Mentholatum Lipfondue,リップフォンデュ,Rohto Mentholatum,Drugstores,show_all,recommendation,
skincare_beauty,JF-0367,verified,B,Minon Amino Moist Line,ミノン,Daiichi Sankyo Healthcare,All drugstores,show_all,recommendation,
skincare_beauty,JF-0368,verified,B,Nivea Cream (Japan Blue Tin),ニベア青缶,Nivea Japan,Drugstores,show_all,recommendation,
skincare_beauty,JF-0369,verified,B,Opera Lip Tint,オペラ,Imju,Drugstores;Plaza,show_all,recommendation,
skincare_beauty,JF-0370,verified,B,Senka Perfect Whip Cleanser,専科 パーフェクトホイップ,Shiseido,All drugstores,show_all,recommendation,
skincare_beauty,JF-0371,verified,B,&honey hair oil,アンドハニー ヘアオイル,ViCREA,Drugstores;Loft;Donki,show_all,recommendation,
skincare_beauty,JF-0372,verified,A,Anessa Perfect UV Skincare Milk,アネッサ パーフェクトUV スキンケアミルク,Shiseido,Drugstores;Donki;@cosme;dept stores;Amazon JP;Yodobashi,show_all,recommendation,
skincare_beauty,JF-0373,verified,B,Bioré UV Aqua Rich Watery Essence,ビオレUV アクアリッチ ウォータリーエッセンス,Kao,Drugstores;Donki;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0374,verified,B,Canmake Cream Cheek,キャンメイク クリームチーク,Canmake,Drugstores;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0375,verified,B,Canmake Mermaid Skin Gel UV,キャンメイク マーメイドスキンジェルUV,Canmake / IDA Laboratories,Drugstores;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0376,verified,B,Cezanne lipstick/tint,セザンヌ リップカラー,Cezanne,Drugstores;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0377,verified,B,Dolly Wink eyeliner,ドーリーウインク アイライナー,Koji / Dolly Wink,Drugstores;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0378,verified,B,Fino Premium Touch Hair Mask,フィーノ プレミアムタッチ ヘアマスク,Shiseido / Fine Today,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0379,verified,A,Hada Labo Gokujyun Hydrating Lotion,肌ラボ 極潤ヒアルロン液,Rohto,Drugstores;Donki;Rohto online,show_all,recommendation,
skincare_beauty,JF-0380,verified,B,Hada Labo Gokujyun Premium Lotion,肌ラボ 極潤プレミアム,Rohto,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0381,verified,B,Heroine Make Long & Curl Mascara,ヒロインメイク ロング＆カールマスカラ,Kiss Me / Isehan,Drugstores;Loft;@cosme,show_all,recommendation,
skincare_beauty,JF-0382,verified,B,Kao Merit Day+ dry shampoo sheets,メリット ドライシャンプーシート,Kao,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0383,verified,B,Keana Nadeshiko Rice Mask,毛穴撫子 お米のマスク,Ishizawa Laboratories,Drugstores;Donki;Loft,show_all,recommendation,
skincare_beauty,JF-0384,verified,B,Kose Softymo Speedy Cleansing Oil,ソフティモ スピーディ クレンジングオイル,KOSÉ Cosmeport,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0385,verified,B,LuLuLun sheet masks,ルルルン フェイスマスク,LuLuLun,Drugstores;Donki;Loft;regional shops,show_all,recommendation,
skincare_beauty,JF-0386,verified,B,Melano CC Vitamin C Essence,メラノCC 薬用しみ集中対策美容液,Rohto,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0387,verified,B,Muji Sensitive Skin Toner,敏感肌用化粧水,MUJI,MUJI stores,show_all,recommendation,
skincare_beauty,JF-0388,verified,B,Naturie Hatomugi Skin Conditioner,ナチュリエ ハトムギ化粧水,Imju,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0389,verified,B,Nivea UV Super Water Gel,ニベアUV スーパーウォータージェル,Kao / Nivea Japan,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0390,verified,B,Saborino morning masks,サボリーノ 目ざまシート,BCL,Drugstores;Donki;Loft,show_all,recommendation,
skincare_beauty,JF-0391,verified,B,Senka Perfect Whip,専科 パーフェクトホイップ,Shiseido / Fine Today,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0392,verified,B,Shiseido eyelash curler,資生堂 アイラッシュカーラー,Shiseido,Drugstores;Donki;dept stores,show_all,recommendation,
skincare_beauty,JF-0393,verified,B,Skin Aqua Super Moisture UV Gel,スキンアクア スーパーモイスチャーUVジェル,Rohto,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0394,verified,B,Tsubaki Premium Repair Hair Mask,ツバキ プレミアムリペアマスク,Shiseido / Fine Today,Drugstores;Donki,show_all,recommendation,
skincare_beauty,JF-0395,verified,D,Unlabeled miracle whitening creams,美白クリーム類,Various unknown brands,Tourist-heavy discount shops;online resellers,show_all,recommendation,
skincare_beauty,JF-0396,verified,B,Utena Matomage hair styling stick,マトメージュ,Utena,Drugstores;Donki,show_all,recommendation,
snacks,JF-0397,verified,B,Alfort,アルフォート,Bourbon,Supermarkets;konbini,show_all,recommendation,
snacks,JF-0398,verified,B,Baked Cheese Tart (BAKE),ベイク チーズタルト,BAKE Inc.,Stations and malls,show_all,recommendation,
snacks,JF-0399,verified,B,Black Thunder,ブラックサンダー,Yuraku,Konbini;supermarkets;Donki,show_all,recommendation,
snacks,JF-0400,verified,B,Calbee Jagariko / Jagabee,じゃがりこ / じゃがビー,Calbee,Konbini;supermarkets,show_all,recommendation,
snacks,JF-0401,verified,B,Calbee Pizza Potato Chips,ピザポテト,Calbee,Konbini;supermarkets,show_all,recommendation,
snacks,JF-0402,verified,B,Country Ma'am,カントリーマアム,Fujiya,Supermarkets;Donki,show_all,recommendation,
snacks,JF-0403,verified,B,Hi-Chew,ハイチュウ,Morinaga,Konbini;supermarkets;Donki,show_all,recommendation,
snacks,JF-0404,verified,B,Hiyoko Bird Cakes,ひよ子,Hiyoko Honpo,Tokyo Station;Fukuoka airport,show_all,recommendation,
snacks,JF-0405,verified,B,Hokkaido Letao Double Fromage,ルタオ ドゥーブルフロマージュ,LeTAO,LeTAO Hokkaido;airport;online,show_all,recommendation,
snacks,JF-0406,verified,B,Kinoko no Yama / Takenoko no Sato,きのこの山 / たけのこの里,Meiji,Konbini;supermarkets,show_all,recommendation,
snacks,JF-0407,verified,B,Kit Kat Chocolatory Custom Kit Kat,キットカット ショコラトリー,Nestle Japan,Ginza;Tokyo Solamachi;Osaka,show_all,recommendation,
snacks,JF-0408,verified,A,Kit Kat Matcha,キットカット 抹茶,Nestle Japan,Konbini;supermarkets;airports;Yodobashi,show_all,recommendation,
snacks,JF-0409,verified,B,Kit Kat Sake / Hojicha / Daigaku Imo / Regional Flavors,ご当地キットカット,Nestle Japan,Airports;regional shops;Donki,show_all,recommendation,
snacks,JF-0410,verified,B,Kit Kat Wasabi,キットカット わさび,Nestle Japan,Tourist channels,show_all,recommendation,
