Name,Description,Latitude,Longitude,Cluster
Dogashima Marine Cave Cruise (堂ヶ島遊覧船),"Sea Caves & Coastal Features · Nishiizu, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJxfGsjHL3GWARF7wxDSd8hQ0",34.7819181,138.76736,Nature
Dogashima (Coast/caves base),"Base Town · Nishiizu, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJf0FkCHP3GWARWjRcnTo-1MM",34.7827086,138.7661468,
Dogo Onsen,"Onsen & Ryokan Towns · Matsuyama, Ehime

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ84F-kHjmTzURebGHHI1YWXw",33.8520748,132.7864098,Onsen & ryokan
Echizen Pottery Village,"Workshops & crafts · Echizen, Nyu District · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJd3z-VFWy-F8RXtU_oQ0TzjI",35.933875199999996,136.0608408,Workshops & crafts
Echizen Washi Village,"Workshops & crafts · Fukui · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ1XGJrSyp-F8ReW1vYGvz7Kg",35.9109839,136.2447556,Workshops & crafts
Edo-Tokyo Open Air Architectural Museum,"Culture & History · Koganei, Tokyo · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJh5F6GpuNGGARZ6dHiggrfyQ",35.7155722,139.5125434,Culture & history
Edo Wonderland Nikko Edomura,"Theme Parks & Big Attractions · Tochigi · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJZWyJwnifH2ARoJVAqbtWNBg",36.7908146,139.6973346,Theme parks
Emerald Beach,"Nature & Water · Motobu, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJk4Fw-Dn65DQRkdNLoaBpJLI",26.6991832,127.8775903,Nature
Enoshima Island Day,"Nature & Water · Enoshima (Fujisawa), Kanagawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ65cDn-ZOGGARFgJbe_VZoPo",35.3000228,139.4807831,Nature
Farm Tomita (Lavender/Flower Fields),"Views & Sunsets · Furano, Hokkaido

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJdzcW1F2zDF8Rkm1ghwLPbbc",43.4182493,142.4280407,Scenic
Fuji Five Lakes (Kawaguchiko),"Views & Sunsets · Kawaguchiko, Yamanashi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJwdemCVNnGWARps2x6KVUvRo",35.4879732,138.8071867,Scenic
Fuji-Q Highland,"Theme Parks & Big Attractions · Yamanashi · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJL7jIyupgGWARMDfArSEwykc",35.4869467,138.7805511,Theme parks
Fujiko F. Fujio Museum,"Quirky museums · Tama Ward, Kawasaki · rainy day · with kids · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJCTNbYSvxGGARhT9-j573B_c",35.6099229,139.5735723,Quirky museums
Fukuoka (福岡) – city base,"Base Town · Fukuoka, Fukuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJySWOgNGPQTUR6AMxFgsHoo8",33.6251288,130.4475615,
Fukuyama (福山) – city base,"Base Town · Fukuyama, Hiroshima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJM0QQmrwQUTURtwFn4wbERQk",34.4859845,133.36242389999998,
Fushimi Inari Taisha (short loop),"Culture & History · Fushimi (Kyoto), Kyoto

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJIW0uPRUPAWAR6eI6dRzKGns",34.9676945,135.7791876,Culture & history
Ganso Sapporo Ramen Yokocho (元祖札幌ラーメン横丁),"Food & Markets · Sapporo, Hokkaido

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJSyzMXY8pC18R-ecCwIykpC8",43.0547934,141.35429159999998,Food markets
Geibikei Gorge Boat,"Nature & Water · Ichinoseki, Iwate

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJVzuqtKbIiF8R5KpNvZcXDXk",38.9894482,141.2554516,Nature
Gesashi Bay Mangrove Kayak,"Nature & Water · Higashi, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJCYdC79RR5DQRJlHl8so4uhY",26.601786399999998,128.14206149999998,Nature
Ghibli Museum,"Anime · Mitaka, Tokyo · with kids · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJLYwD5TTuGGARBZKEP5BV4U0",35.696238,139.5704317,Anime
Ghibli Park,"Anime/Ghibli · Aichi Earth Expo Memorial Park, Nagakute, Aichi · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJs9ADAkVnA2ARixLFaXpLFjY",35.1750406,137.0887716,Anime
Gintengai Shopping Arcade (銀天街商店街),"Food & Markets · Matsuyama, Ehime

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJG9UKhIzlTzURpxhzVxVlrX4",33.8360736,132.7641179,Food markets
Ginzan Onsen Town Walk,"Onsen & Ryokan Towns · Obanazawa, Yamagata

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJwwpUB9BdiV8RkkV8C3gQ2S4",38.571984,140.528755,Onsen & ryokan
Ginzan Onsen,"Onsen & ryokan · Ginzanshinhata, Obanazawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ7SNY19pdiV8RIRfQXnlYhtk",38.5706177,140.5305457,Onsen & ryokan
Gion Evening Stroll (early dinner),"Culture & History · Kyoto, Kyoto

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ8dlnc-oIAWARMw3PidOJz1w",35.0055264,135.77452979999998,Culture & history
Glover Garden,"Culture & History · Nagasaki City, Nagasaki

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ34BEgoRTFTURm9sPe3FbyOs",32.734331399999995,129.8691886,Culture & history
Gorilla Building,"Scenic · Sangenjaya, Tokyo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJVf818KvzGGARw4xSoCT1ehc",35.6475857,139.6691456,Scenic
Goshikinuma (Five Colored Ponds),"Nature & Water · Urabandai, Fukushima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJhRiLhGu7il8Rc4YBYXHnJwc",37.6508749,140.0732012,Nature
Gosho Aoyama Manga Factory,"Anime · Hokuei, Yurashuku

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ89kHhMh1VjURfy7KxXz4Wy8",35.498031999999995,133.76180979999998,Anime
Gotokuji Temple,"Culture & history · Setagaya, Tokyo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJVVUBmZ_zGGARrEy-Ua3psAY",35.6488124,139.647481,Culture & history
Gyokuhokan,"Onsen & ryokan · Kawazu, Kamo District

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJido4chPhGWARTzjcFXsqGv4",34.7569319,138.98277149999998,Onsen & ryokan
Hachinohe Miroku Yokocho (みろく横丁),"Food & Markets · Hachinohe, Aomori

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJHY6HIOtTm18RvsXq7Ew3mfw",40.5092426,141.49087020000002,Food markets
Hachinohe Morning Market (八戸館鼻岸壁朝市),"Food & Markets · Hachinohe, Aomori

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJfSB2nM1Tm18R291Tudad54c",40.5278596,141.5294053,Food markets
Hakkoda Ropeway,"Trains & Scenic Transport · Aomori City, Aomori · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJk7v5t6cNm18RhPWSRI3ZtXA",40.6807904,140.8316987,Scenic transport
Hakodate Morning Market,"Food & Markets · Hakodate, Hokkaido

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ9Th38KHznl8RlR8a2ny1fuQ",41.7724585,140.7256912,Food markets
Hakone Open-Air Museum,"Quirky & Interactive Museums · Hakone, Kanagawa · rainy day · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJMfOWowSiGWARX2wK6ac5jlg",35.2451601,139.0507271,Quirky museums
Hakone Ropeway & Owakudani,"Trains & Scenic Transport · Hakone, Kanagawa · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:EkxIYWtvbmUgUm9wZXdheSwgU2VuZ29rdWhhcmEsIEhha29uZSwgQXNoaWdhcmFzaGltbyBEaXN0cmljdCwgS2FuYWdhd2EsIEphcGFuIi4qLAoUChIJY2br3DCfGWARMDFegqz4huQSFAoSCWXijBY3nxlgEdjA_i9fR0aE",35.2443674,139.0190448,Scenic transport
Hakone Sightseeing Cruise (Lake Ashi ‘Pirate Ship’),"Nature & Water · Lake Ashi area, Hakone, Kanagawa (multiple piers)

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJuSzGc2mYGWARcHDoWGHTLws",35.189992499999995,139.0245259,Nature
Hankyu Umeda (Depachika) (阪急うめだ本店),"Food & Markets · Osaka, Osaka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ67mcWJLmAGARrUf0FlFtm7w",34.7028186,135.4985323,Food markets
Harmonica Yokocho (ハモニカ横丁),"Food & Markets · Kichijoji, Tokyo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ92lO50fuGGARTB6NNcy_abk",35.7036787,139.5792734,Food markets
Harmonyland,"Theme parks · Hiji, Fujiwara · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJPUDZCxYZRDURfVQ6VUealRU",33.4001589,131.5468003,Theme parks
Hida Folk Village (Hida no Sato),"Culture & History · Takayama, Gifu

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJmWTYrzm7AmARRPwmwmCypNY",36.1324902,137.2350898,Culture & history
Himeji Castle,"Culture & History · Himeji, Hyogo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJsyQzogPgVDURsYG6bi-MT3o",34.839449,134.6939047,Culture & history
Hirome Market (food hall),"Food & Markets · Kochi City, Kochi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ1w_oDToZTjUR3QutG7QRnZk",33.560116,133.53593700000002,Food markets
Hirosaki Castle Park,"Culture & History · Hirosaki, Aomori

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJSR1LG8QBm18R_BX_sDB1Kxs",40.6077066,140.46436749999998,Culture & history
Hiroshima Peace Memorial Park (parent-led),"Culture & History · Hiroshima City, Hiroshima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJgzAzVG2iWjURZRZ1udXOKeE",34.3926867,132.4522012,Culture & history
Hitachi Seaside Park,"Nature & Water · Hitachinaka, Ibaraki

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJQURehB2LIWAR4fDmA-odfnY",36.405864,140.59648679999998,Nature
Hozenji Yokocho (法善寺横丁),"Food & Markets · Osaka, Osaka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJY4ZQxRTnAGAR0mjfWQwO7ho",34.6681187,135.50261039999998,Food markets
Huis Ten Bosch,"Theme Parks & Big Attractions · Nagasaki · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJvc-zbma9ajUR93iHfUJ7Jm8",33.0897198,129.79189209999998,Theme parks
Ikuchijima (生口島) – island base,"Base Town · Ikuchijima, Hiroshima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJGcS-kjxSUDURL2YchlAO1CU",34.2928324,133.1068632,
Imabari (今治) – Shimanami base,"Base Town · Imabari, Ehime

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ0WPS9xk7UDURgnebH3j594E",34.084813499999996,132.99364400000002,
Imazu Sports Park (今津運動公園),"Parks & Playgrounds · Nishi Ward, Fukuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ2xdiRnPsQTURKqBwMQqfGyo",33.605609099999995,130.2474208,Parks
Inokashira Park & Zoo,"Animals & Aquariums · Mitaka, Tokyo · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJLRZy90ruGGAR7AqksIECQr8",35.7007724,139.5727436,Animals
Iriomote Mangrove Cruise,"Nature & Water · Iriomote, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJXelw6aF8YDQRZSsQKk58ztU",24.271752300000003,123.88291579999999,Nature
Iroha Yokocho (壱弐参横丁),"Food & Markets · Sendai, Miyagi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ-4FBlT0oil8Rncgx1FIr95U",38.258651,140.873541,Food markets
Isetan Kyoto (Depachika) (ジェイアール京都伊勢丹),"Food & Markets · Kyoto, Kyoto

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJu_u7564IAWAR59CKVpnyvOE",34.9858646,135.7569987,Food markets
Isetan Shinjuku (Depachika) (伊勢丹新宿店),"Food & Markets · Shinjuku, Tokyo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ9ztrpduMGGARte1BM8ccdIs",35.691573999999996,139.7046466,Food markets
Island City Central Park (アイランドシティ中央公園),"Parks & Playgrounds · Higashi Ward, Fukuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJMYaeoMKOQTURA2-QTJHpJs4",33.6634538,130.42105089999998,Parks
Ito Marine Town (道の駅 伊東マリンタウン),"Parks & Playgrounds · Ito, Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJkzxTVG7BGWARxBBjqi5fjvo",34.9853519,139.0942644,Parks
Ito (Beach + onsen town base),"Base Town · Ito, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJJVq_MtbDGWAR6N4oj2scZt0",34.9755556,139.0961111,
Itoshima (糸島) – beach day trips,"Base Town · Itoshima, Fukuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ0SFHqpDnQTURfh5IheuZbd0",33.5854917,130.1083528,
Iya Valley Vine Bridge (Kazurabashi),"Nature & Water · Miyoshi, Tokushima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJEdgLLuUnUjUR691uAvUAg0U",33.8751331,133.8353996,Nature
Iyotetsu Takashimaya (Depachika) (いよてつ髙島屋),"Food & Markets · Matsuyama, Ehime

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJm6z3j4vlTzUR_aFRaneiFDo",33.8354813,132.7629182,Food markets
Izu Animal Kingdom (伊豆アニマルキングダム),"Animals & Aquariums · Higashiizu, Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJBXTcp6ngGWARLAHBi6Y2A2M",34.7967222,139.0396972,Animals
Izu Granpal Park (伊豆ぐらんぱる公園),"Parks & Playgrounds · Ito, Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJwdrSa6rcGWARb9A2QCfMITg",34.905627300000006,139.1214403,Parks
Izu Kogen (Coastal plateau base),"Base Town · Ito, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJPz5bHGnbGWARzDROk5rcW8I",34.8910482,139.1399205,
Izu-Nagaoka (Onsen area base),"Base Town · Izunokuni, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJT50LSbCTGWARGhm5fMHWeRM",35.0265687,138.9283906,
Izu Shaboten Zoo (伊豆シャボテン動物公園),"Animals & Aquariums · Ito, Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ3cyF2zbDGWARKTSzSm4Er10",34.907125799999996,139.10088389999999,Animals
Izumo Taisha,"Culture & History · Izumo, Shimane

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJPRlWKpRcVzUR74S6_K5qanA",35.4018692,132.6854693,Culture & history
Jigokudani Monkey Park (Snow Monkeys),"Animals & Aquariums · Nagano · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJzyCiTOzzHWARH9aN73OLTfY",36.732685599999996,138.4621364,Animals
Jodogahama Beach,"Nature & Water · Miyako, Iwate

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJjzxoNk_LhV8RPThjzhcFfqo",39.6522818,141.97876209999998,Nature
Jogasaki Coast (城ヶ崎海岸),"Nature Walks & Views · Ito, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJPz5bHGnbGWARzDROk5rcW8I",34.8910482,139.1399205,Nature
Jozankei Onsen,"Onsen & Ryokan Towns · Jozankei (Sapporo), Hokkaido

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJWSzGYeTNCl8Rg9358MGnJwo",42.9541269,141.1515023,Onsen & ryokan
JR Nagoya Takashimaya (Depachika) (ジェイアール名古屋タカシマヤ),"Food & Markets · Nagoya, Aichi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ_zIUlSd3A2ARsDK_g3Ov14M",35.170913999999996,136.8831799,Food markets
Jump Shop Shibuya,"Anime · Shibuya, Udagawachō · rainy day · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJV_4GNbONGGARfazAKoc5YY4",35.661834299999995,139.69877599999998,Anime
